id,language
135558945,en
20992865,en
11524494,de
165271252,en
25736477,en
114037984,ru
477294350,en
57608231,pt-br
114150644,en
50795214,fr
8522534,en
38718052,en
26144032,fr
130447455,en
24991333,en
71031406,en
24666044,en
665575600,pt-br
21379187,en
108948694,es
244407024,en
94760606,fr
21802540,ru
29753247,fr
47954096,en
35893764,de
35991862,en
75316677,es
78567532,de
31443685,en
120244187,en
48243045,en
31457014,en
28640725,en
136494286,it
179144678,it
443654989,pt-br
136189230,pt-br
16689163,en
121652526,fr
168116110,fr
128268757,es
195675197,en
130962899,es
26464160,es
50881182,en
81463115,en
35824977,en
170079505,es
502277438,de
238185092,en
61292850,en
544502795,en
63985840,fr
416719291,es
96858382,en
95155668,fr
159782005,ru
31813025,fr
29592923,es
22479463,en
21635116,de
53831525,en
42896693,en
73911501,de
39795492,en
39067173,en
131917576,it
42320398,en
123275679,en
39176440,ru
186633315,en
569342042,en
29491102,en
78397626,en
116882497,de
474535377,ru
645448741,en
106798269,pt-br
273448419,es
40748114,pt-br
114717492,ru
168525296,en
141222256,fr
109778370,it
10114287,en
184325380,es
149220653,fr
71336,en
80177884,en
43725651,it
557148694,en
86058620,en
89486159,en
89600394,it
98518220,es
127040829,ru
63072834,it
563908141,en
47815280,en
79418345,ru
232810438,fr
217868850,ko
623481730,es
116363747,es
118974117,es
144555242,en
49495142,ru
52693304,it
437144416,en
31680543,en
539703465,fr
197490552,es
137716270,en
40299581,es
110298250,en
46021592,en
484499238,tr
53811294,en
60709283,tr
139060194,ko
49413110,de
678061966,en
23184822,en
77913099,en
77148737,fr
366735,en
114366744,en
123843446,pt-br
515489203,en
61713129,en
30463343,en
90989037,en
122262226,es
76441880,ru
405208912,es
473183066,fr
40740351,fr
109163696,it
190428536,pt-br
215968422,en
133220545,en
1518077,en
58782558,en
183714759,en
28036688,en
422033166,it
535945078,it
95046279,tr
57865494,en
463406124,en
46257960,en
415009669,en
477614849,tr
537485946,es
154516696,en
75738685,en
27680990,pt-br
116780430,ru
131342532,it
68062590,es
40980097,en
99584389,pt-br
147747979,en
85094047,tr
50807694,en
155042124,de
142199256,en
84553934,en
43207052,en
177730578,en
14410317,en
127361301,en
680332749,en
72592349,en
52028167,de
30773592,fr
514298099,es
30023985,fr
189561436,es
85439610,ru
70518383,en
94977989,ru
73324511,en
48538184,ru
403058230,ru
36094496,es
41083988,en
268250459,it
37751921,en
431644708,ru
132199022,fr
83000940,tr
217715744,fr
129056154,ru
30274426,en
47485986,en
169558955,fr
663869900,en
503304793,pt-br
261767,en
132563423,en
23874126,en
124640241,pt-br
52070771,en
68124914,es
78787513,pt-br
158089970,en
18362365,ru
53430798,en
127155453,en
30672329,pt-br
241163546,pt-br
55176124,en
45631536,en
192202755,pt-br
181582483,en
81628627,en
506880770,es
560174391,pt-br
25856143,en
25065082,en
50561208,en
28968984,en
63321379,en
40256561,ru
22562338,en
177964931,en
26184492,fr
43197130,en
232397122,en
40245188,de
118250669,it
61438909,en
111082347,it
194676183,en
21565409,es
84161953,es
26671723,en
93857215,en
39459577,en
44365677,en
139967680,ko
120432137,es
125339282,en
596082519,fr
157993775,en
12585713,en
42022015,en
134666774,en
414340123,en
100484450,en
85639630,de
176480198,de
52323512,it
116263317,en
