source,target,weight
135377687,9679595,15
213749122,9679595,13
7010591,9679595,20
638511570,9679595,11
64581694,9679595,40
81857784,114774737,18
164234001,114774737,27
102845970,114774737,81
133923936,114774737,27
148934000,114774737,25
16064695,91647183,21
38594688,91647183,104
219621643,91647183,655
125387632,91647183,36
56040562,91647183,39
57025612,99591839,45
164459256,99591839,40
26490481,99591839,69
30104304,99591839,50
50597026,99591839,38
125387632,99591839,115
38594688,99591839,59
38746172,99591839,45
108268890,99591839,47
188890121,99591839,41
15027034,99591839,41
503598254,99591839,38
21991090,99591839,42
29506118,99591839,42
43102846,99591839,38
147337432,99591839,41
62510206,99591839,46
25202416,99591839,45
164234001,99591839,41
16677765,99591839,41
131403189,99591839,39
11692694,99591839,44
160504245,99591839,14
28369163,99591839,16
92372244,99591839,12
131403189,64555493,173
125387632,64555493,17
129004176,64555493,23
28369163,116298471,505
38594688,116298471,31
125387632,116298471,17
9244832,44396269,340
107305687,44396269,442
62510206,44396269,67
129004176,44396269,62
38746172,44396269,183
125387632,44396269,43
32402794,44396269,132
135377687,44396269,11
26490481,44396269,116
160504245,44396269,68
7010591,44396269,22
24538518,44396269,14
30104304,44396269,21
108268890,101936909,20
16064695,101936909,12
206506086,101936909,47
64581694,101936909,363
160504245,101936909,26
9679595,101936909,15
26490481,101936909,79
57025612,101936909,17
125387632,101936909,45
38746172,101936909,14
129004176,101936909,27
30104304,101936909,20
27115917,101936909,18
638511570,101936909,11
135377687,101936909,13
38594688,174592989,391
92372244,174592989,39
125387632,174592989,40
219621643,174592989,37
91647183,174592989,30
28369163,174592989,12
64581694,44338537,12
24538518,44338537,36
125387632,44338537,85
156037856,44338537,96
57317154,44338537,22
16064695,44338537,22
160504245,44338537,58
129004176,44338537,22
26490481,44338537,161
30104304,44338537,301
9528182,44338537,39
9679595,44338537,143
9244832,44338537,161
38746172,44338537,85
7010591,44338537,31
57025612,44338537,25
108268890,44338537,20
62510206,44338537,12
125387632,409760532,17
107305687,409760532,29
38594688,409760532,16
9528182,409760532,19
50686586,409760532,16
28369163,409760532,19
62510206,409760532,11
57025612,71672341,89
160504245,71672341,22
16677765,71672341,47
26490481,71672341,124
30104304,71672341,103
50597026,71672341,39
125387632,71672341,107
38594688,71672341,58
38746172,71672341,55
108268890,71672341,75
188890121,71672341,41
503598254,71672341,40
29506118,71672341,46
147337432,71672341,43
25202416,71672341,52
164234001,71672341,49
131403189,71672341,42
99591839,71672341,83
9679595,71672341,74
101936909,71672341,17
64581694,71672341,33
129004176,71672341,18
156037856,71672341,19
44338537,71672341,43
43102846,71672341,41
16064695,71672341,95
21991090,71672341,80
24538518,71672341,11
9244832,71672341,19
128293484,71672341,12
56040562,71672341,51
11692694,71672341,50
62510206,71672341,44
15027034,71672341,50
164459256,71672341,40
638511570,71672341,14
26819117,25604128,2067
213749122,25604128,614
188890121,25604128,67
134766328,25604128,127
156037856,25604128,28
8641037,25604128,16
57025612,25604128,15
125387632,25604128,52
160504245,25604128,18
57317154,25604128,13
129004176,25604128,30
26490481,25604128,19
44338537,25604128,13
30104304,25604128,25
108268890,25604128,20
21991090,31545223,155
16064695,31545223,294
92113890,31545223,85
57317154,31545223,14
125387632,31545223,74
64581694,31545223,19
156037856,31545223,21
56040562,31545223,26
26490481,31545223,32
71672341,31545223,13
24538518,31545223,34
117783070,31545223,20
